essay_id,condition,gpt_score
5f5de0c1a9ba1163a6f7f78b,No practice,2.6
67110816ee3ab678f80eed04,No practice,3.0
673726b38e7451a580f3c624,No practice,3.6
66fbce9f6636b088d001a4e9,No practice,3.2
673f22a6fe1eb8b74492446c,No practice,3.0
67472b406557adf9044c6e34,No practice,3.2
674dfaa7d928f0bfb0084339,No practice,3.0
673a2837d5cb152d08ee5be8,No practice,3.4
674ecab9c4b5d7e72489cc90,No practice,3.4
67143d6ceca675fc7f56d6ad,No practice,2.8
6630f8c1f995b01de9767c7d,No practice,3.6
673840bbbf35e7a4a6ad3918,No practice,3.6
6744f2b0bc094f0202eee300,No practice,3.2
67530d3f746600868ad35364,No practice,3.4
6752dfa83d6bd053f4a82672,No practice,3.6
6716deaf9d399c9499b878cd,No practice,3.4
6739909cd20e7e7fcf711ef7,No practice,3.0
650f0436808ab1edc4264660,No practice,3.6
6643cde3471e61890ff943ae,No practice,3.4
6748f02892a5641e585c53b2,No practice,3.4
61474a17f798ccc4e40383da,No practice,3.2
660b8a64848fe5d8cc2c5444,No practice,2.8
672f0bc51dcdd7fd05d5a26b,No practice,2.8
673cf6d476dc4af064402a8c,No practice,3.6
672fb08eff9dcbaeeb666b7e,No practice,3.0
673cd678c75d841b07b4d34a,No practice,3.0
6720de8a0a6c9c0c3b803fb7,No practice,3.4
6129ba3532102d5c539ff29b,No practice,3.4
5bf336d965825d00017cf3c2,No practice,3.4
66d6b541291304cb7e9fcc4e,No practice,3.6
5e2b4e61a7f804000a55eee7,No practice,3.2
66c6952ac1f2b09e6c930cf8,No practice,3.4
5ed68cac121a540dfb82f4ea,No practice,3.0
66e751acca3571686adc14d4,No practice,3.4
6751f03363fdbd0a960f7f87,No practice,4.6
65f5cbcd2324b8dd6f3ff42d,No practice,4.0
5a9ab4944eecca0001dd806a,No practice,4.0
673ed00f3ebd9a8bdb2af956,No practice,4.0
5c1ffe5295f978000173df84,No practice,4.2
674b32fd39976ab4ec92d7d6,No practice,4.6
5f2a13417b4ac51dc95d38c1,No practice,4.0
6748f8e31516667cc3eb71e8,No practice,4.6
6738d0d8a49ff94090a8668a,No practice,4.6
67206083e8af4cf14439ac21,No practice,4.2
67511986975a960bcf3abf18,No practice,4.6
5debed6b3820732ef2af3c55,No practice,4.6
66dd875b792eea0ebd7480c2,No practice,4.2
6742189e9fd5fe9de0d9b729,No practice,4.4
67408294dde74bdcf6ab3624,No practice,3.8
672b535d32de33b44a2c2bf8,No practice,4.2
6732ab9b8627904cc6a8a524,No practice,4.8
61043313db87223a3f2929ed,No practice,4.8
67542c40610c0a42c85564d3,No practice,4.4
67445f0269a82fe014b24be0,No practice,4.6
67073b794c4f1d5d452d23d7,No practice,4.0
673b98ed5c9291ade287dc2d,No practice,4.6
674dd4a8db09aec3c797b225,No practice,4.4
6743ad4dc1bf31373949d647,No practice,4.8
671fae1be03bf361e4a6342e,No practice,4.4
5cd6c1197b871a0001b13589,No practice,4.4
6733248e5bd5390d25c71787,No practice,3.8
66eb8427a91699e7d2eefc29,No practice,3.8
66f4f7ad212140211220fee0,No practice,3.8
6695541a6e0d986b02c25dd9,No practice,3.8
674a00c98d6b23fcec3273be,No practice,3.8
65b549c67c7791499c09f8a2,No practice,4.6
6718c8fc698d34ce5d298fef,No practice,4.4
60da55124ca8924a40a8d91c,No practice,5.8
5aaddb14beaf0b0001707c69,No practice,6.0
670d8b142f87173ffe3b4763,No practice,5.2
671ad3255a64b6879856e3b8,No practice,5.6
6717ca3a61e52dc226157162,No practice,6.0
673ce807b23c287507a4230e,No practice,5.8
67469dde494c2b78202fc16e,No practice,5.6
66f636a15a0ec8d9ef572bae,No practice,5.2
5d203fad20b61f00012aced4,No practice,5.8
67324222a147b9f2c738d0ec,No practice,7.4
6562c873c8002ad2e44b7b33,No practice,5.0
6748fee70bf23692cd9f0de1,No practice,5.8
671b87c9955ba2507a9a9947,No practice,7.0
673bc1b802483aa3f5018d27,No practice,5.0
671b808f72d8aafff77cf0a4,No practice,8.0
675440feacddb63cb9d5988b,No practice,6.0
6740281e046425743a959ce2,No practice,5.0
5eb4c6510ef386339dde2a35,No practice,7.4
6750c7eaec05ae2f773b5be9,No practice,6.8
6725b59fd221a054d8cdc72a,No practice,6.6
67274a937bc73438d89976b8,No practice,5.4
5f49457d8ac21f34cf443e62,No practice,5.2
675662c8da055bc788c8a805,No practice,7.6
610e2de21943396ffccfcf4e,No practice,6.2
673dd729602638e2ca0c3cd7,No practice,5.2
67506ddcd40746bb1f460a23,No practice,6.0
5d7085f70a426200186bc676,No practice,6.4
674065a38ff18a032bc97fa6,No practice,5.8
67570e6b659a69f3542f227c,No practice,6.0
67357ce504c70a09cead4705,No practice,5.6
670fc040eb429afca6ec21e0,No practice,5.2
674e79192cd6a534d097fa86,No practice,5.8
60fd94f3d702e2e637dcc4b1,No practice,6.0
617162d1105c7a764aab90b4,Practice wo AI,3.0
5d0b7d3a1c9a4e001a11dd19,Practice wo AI,3.2
672fe1481ba8b290765e0a76,Practice wo AI,3.6
6742d8af3108e8a56dda101e,Practice wo AI,3.4
673f1dafec0718eb572db268,Practice wo AI,3.0
673af2a9c1f8458caba0ebb8,Practice wo AI,3.0
673dc43ca2f27f065ca2c6da,Practice wo AI,3.0
671a80f4ca33770b00602f07,Practice wo AI,3.4
5dd33f6b2091e93579973754,Practice wo AI,2.8
66edfa4100bafe2855a5654c,Practice wo AI,3.4
65cd90916d6c5ca9f796e9a3,Practice wo AI,3.4
6750f2355fd9ba678f76fa5c,Practice wo AI,3.6
671498899f67df85f33ea053,Practice wo AI,2.8
673b4532dad611895a16ae00,Practice wo AI,3.4
66afb95e579fb899b5e90ab3,Practice wo AI,3.4
672c07a7e4ed661368e89246,Practice wo AI,3.6
673fb829ebd9b9b3c88d4f57,Practice wo AI,3.4
5f371531d5b7e818ee0cf328,Practice wo AI,3.0
6655a82a88d0e8cbcc9dff42,Practice wo AI,1.6
67280753237c0c4258f356a6,Practice wo AI,3.4
63bd8d4ca46f8313570e6fa4,Practice wo AI,3.6
6019ef82db64741e01adb686,Practice wo AI,2.6
66f6f78c68246dd27f4dcc05,Practice wo AI,3.6
62fdda3096b651e5beacf456,Practice wo AI,3.4
673ca896c4ffe7eba1d26499,Practice wo AI,3.2
6717f49882dda1264ded32b9,Practice wo AI,3.2
5df4892578322533c70aecdf,Practice wo AI,3.0
