essay_a_id,essay_b_id,pair_id,condition_a,condition_b,cross_condition
672fe1481ba8b290765e0a76,66aa80ac332a6f9fb18e4364,pair_0000,Practice wo AI,Practice w AI,True
6741fe9a07d7d42c5ed043ad,6716b72cb62f2e7204264d3c,pair_0001,Practice w AI,Practice w AI,False
67477ac7090d737ae33348ea,674eead0fa651dc021895fd9,pair_0002,Practice wo AI,Practice wo AI,False
66f6f78c68246dd27f4dcc05,66dd875b792eea0ebd7480c2,pair_0003,Practice wo AI,No practice,True
5f49457d8ac21f34cf443e62,60fd94f3d702e2e637dcc4b1,pair_0004,No practice,No practice,False
66eddcfe67e927db6f0a4768,66e6d8a2fa6cce78584c8bcd,pair_0005,Practice wo AI,Practice wo AI,False
6646abc0720d1baaa7e0af4c,673ce5fb976e7b0fec24c1e9,pair_0006,Practice w AI,Practice w AI,False
6727e10a76e80949064e1e6c,67414d7323258c912a5a9080,pair_0007,Practice w AI,Practice w AI,False
671fd6f39d8fe673222a5324,675662c8da055bc788c8a805,pair_0008,Practice wo AI,No practice,True
660b8a64848fe5d8cc2c5444,673726b38e7451a580f3c624,pair_0009,No practice,No practice,False
61043313db87223a3f2929ed,67224ad15231b5e9538948bd,pair_0010,No practice,Practice wo AI,True
672bb303dc26d7849dc27a77,67530d3f746600868ad35364,pair_0011,Practice wo AI,No practice,True
67388a4fd2107e49489b05e6,66edfa4100bafe2855a5654c,pair_0012,Practice w AI,Practice wo AI,True
67155947b83a6aee15acbc0d,6129ba3532102d5c539ff29b,pair_0013,Practice w AI,No practice,True
674dd4a8db09aec3c797b225,672c07a7e4ed661368e89246,pair_0014,No practice,Practice wo AI,True
5ec738ce3c7fd317a72dcfe6,67208d3885ff15254cff81a5,pair_0015,Practice w AI,Practice wo AI,True
6734010bda95d208801d15b0,5e3e54f69e51f80b67c1cc06,pair_0016,Practice wo AI,Practice w AI,True
65b274bf676b7b6d6a92a7bc,6732ab9b8627904cc6a8a524,pair_0017,Practice wo AI,No practice,True
673d071d17bf88e3930af5f0,673f22a6fe1eb8b74492446c,pair_0018,Practice wo AI,No practice,True
617162d1105c7a764aab90b4,6744fb5c6a8a3d8e3f531da3,pair_0019,Practice wo AI,Practice w AI,True
66eadc2f3e0ce992ca6d5db7,672c07a7e4ed661368e89246,pair_0020,Practice w AI,Practice wo AI,True
66eb8427a91699e7d2eefc29,670d8b142f87173ffe3b4763,pair_0021,No practice,No practice,False
671a80f4ca33770b00602f07,620bdc0ba922fc3f247f6939,pair_0022,Practice wo AI,Practice wo AI,False
673775d01ea6f13f83478a98,673253900b42a97fc5a371c1,pair_0023,Practice w AI,Practice wo AI,True
67143d6ceca675fc7f56d6ad,673840bbbf35e7a4a6ad3918,pair_0024,No practice,No practice,False
5e4e844553bc702cdf68404d,5f371531d5b7e818ee0cf328,pair_0025,Practice w AI,Practice wo AI,True
6733248e5bd5390d25c71787,6727e10a76e80949064e1e6c,pair_0026,No practice,Practice w AI,True
67110816ee3ab678f80eed04,673215ff162805cf7a252019,pair_0027,No practice,Practice wo AI,True
60da55124ca8924a40a8d91c,667d40aa7de88cce486a3beb,pair_0028,No practice,Practice wo AI,True
5aaddb14beaf0b0001707c69,6630f8c1f995b01de9767c7d,pair_0029,No practice,No practice,False
6755e7f8aa088eda32fcdc43,5bc1408d5a09ea00012e3cd8,pair_0030,Practice wo AI,Practice w AI,True
6757f72f155aa5774594c6b3,67280753237c0c4258f356a6,pair_0031,Practice w AI,Practice wo AI,True
66fce373051cafbe0961017b,66d11be993fd125064876a34,pair_0032,Practice w AI,Practice wo AI,True
